codigo,nombre,siglas
1,Letras y Ciencias Humanas,FLCH
2,Derecho y Ciencia Política,FDCP
3,Medicina,FM
4,Ciencias Matemáticas,FCM
5,Ciencias Biológicas,FCB
6,Ciencias Económicas,FCE
7,Farmacia y Bioquímica,FFB
8,Odontología,FO
9,Educación,FE
10,Medicina Veterinaria,FMV
11,Química e Ingeniería Química,FQIQ
12,Ciencias Administrativas,FCA
13,Ciencias Contables,FCC
14,Ciencias Físicas,FCF
15,Ciencias Sociales,FCS
16,"Ingeniería Geológica, Minera, Metalúrgica y Geográfica",FIGMMG
17,Ingeniería Industrial,FII
18,Ingeniería Electrónica y Eléctrica,FIEE
19,Psicología,FP
20,Ingeniería de Sistemas e Informática,FISI
