Escuela;Ingeniería De Sistemas;;;;;;;;;;;;
Plan;Plan 2023;;;;;;;;;;;;
Ciclo;Tipo;Codigo;Nombre;HT;HP;HL;Creditos;Prerequisito;;;;;
1;O;INO101;REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA I;2;2;0;3.0;;;;;;
1;O;INO102;MÉTODOS DE ESTUDIO UNIVERSITARIO;1;2;0;2.0;;;;;;
1;O;INO103;DESARROLLO PERSONAL Y LIDERAZGO;1;2;0;2.0;;;;;;
1;O;INO104;CÁLCULO I;2;4;0;4.0;;;;;;
1;O;INO105;BIOLOGÍA PARA CIENCIAS E INGENIERÍA;2;4;0;4.0;;;;;;
1;O;INO106;ÁLGEBRA Y GEOMETRÍA ANALÍTICA;2;4;0;4.0;;;;;;
1;O;INO107;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;2;2;0;3.0;;;;;;
1;O;INO108;PROGRAMACIÓN Y COMPUTACIÓN;1;0;2;2.0;;;;;;
2;O;INO201;REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA II;2;2;0;3.0;INO101 - REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA I;;;;;
2;O;INO202;INVESTIGACIÓN FORMATIVA;2;2;0;3.0;;;;;;
2;O;INO203;REALIDAD NACIONAL Y MUNDIAL;1;2;0;2.0;;;;;;
2;O;INO204;CÁLCULO II;2;4;0;4.0;INO104 - CÁLCULO I;;;;;
2;O;INO205;FÍSICA I;3;2;0;4.0;;;;;;
2;O;INO206;QUÍMICA GENERAL;3;2;0;4.0;;;;;;
2;O;INO207;INTRODUCCIÓN A LAS CIENCIAS E INGENIERÍA;1;2;0;2.0;;;;;;
2;O;INO208;EMPRENDIMIENTO E INNOVACIÓN;1;2;0;2.0;;;;;;
3;O;201230301;INTRODUCCIÓN A LA COMPUTACIÓN;3;2;0;4.0;;;;;;
3;O;201230302;SERIES Y ECUACIONES DIFERENCIALES;3;2;0;4.0;INO204 - CÁLCULO II;;;;;
3;O;201230303;ELECTROMAGNETISMO Y ÓPTICA;3;2;0;4.0;INO205 - FÍSICA I;;;;;
3;O;201230304;PROGRAMACIÓN DE COMPUTADORAS I;2;2;2;4.0;;;;;;
3;O;201230305;FUNDAMENTOS DE SISTEMAS DE INFORMACIÓN;1;2;0;2.0;;;;;;
3;O;201230306;MATEMÁTICAS DISCRETAS;2;4;0;4.0;INO106 - ÁLGEBRA Y GEOMETRÍA ANALÍTICA;;;;;
4;O;201230401;ORGANIZACIÓN EMPRESARIAL;2;2;2;4.0;201230305 - FUNDAMENTOS DE SISTEMAS DE INFORMACIÓN;;;;;
