Escuela;Ingeniería De Software;;;;;;;;
Plan;Plan 2023;;;;;;;;
Ciclo;Tipo;Codigo;Nombre;HT;HP;HL;Creditos;Prerequisito;
1;O;202SW0101; REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA I;2;2;0;3.0;;
1;O;202SW0102; MÉTODOS DE ESTUDIOS UNIVERSITARIOS;1;2;0;2.0;;
1;O;202SW0103; DESARROLLO PERSONAL Y LIDERAZGO;1;2;0;2.0;;
1;O;202SW0104; CÁLCULO I;2;4;0;4.0;;
1;O;202SW0105; BIOLOGÍA PARA CIENCIAS E INGENIERÌA;2;4;0;4.0;;
1;O;202SW0106; ALGEBRA Y GEOMETRÍA ANALÍTICA I;2;4;0;4.0;;
1;O;202SW0107; MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;2;2;0;3.0;;
1;E;202SW0E01; PROGRAMACIÓN Y COMPUTACIÓN;1;2;0;2.0;;
1;E;202SW0E02; EMPRENDIMIENTO E INNOVACIÓN;1;2;0;2.0;;
1;E;202SW0E03; FUNDAMENTOS DE RIESGOS DE DESASTRES Y CAMBIO CLIMÁTICO;1;2;0;2.0;;
1;E;202SW0E04; TALLER DE MÚSICA;1;2;0;2.0;;
1;E;202SW0E05; TALLER DE DANZA;1;2;0;2.0;;
1;E;202SW0E08; INGLES BASICO;1;2;0;2.0;;
1;E;202SW0E09; SEGURIDAD E HIGIENE OCUPACIONAL;1;2;0;2.0;;
2;O;202SW0201; REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA II;2;2;0;3.0;202SW0101 - REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA I;
2;O;202SW0202; INVESTIGACIÓN FORMATIVA;2;2;0;3.0;;
2;O;202SW0203; REALIDAD NACIONAL Y MUNDIAL;2;1;0;2.0;;
2;O;202SW0204; CÁLCULO II;2;4;0;4.0;202SW0104 - CÁLCULO I;
2;O;202SW0205; FÍSICA I;3;2;0;4.0;;
2;O;202SW0206; QUÍMICA GENERAL;3;2;0;4.0;;
2;O;202SW0207; INTRODUCCIÓN A LAS CIENCIAS E INGENIERÍA;1;2;0;2.0;;
3;O;202SW0301; ALGORÍTMICA I;3;2;0;4.0;;
3;O;202SW0302; ESTADÍSTICA Y PROBABILIDADES;3;2;0;4.0;;
3;O;202SW0303; FISICA ELÉCTRÓNICA;2;2;0;3.0;;
3;O;202SW0304; INGENIERÍA ECONÓMICA;2;2;0;3.0;;
3;O;202SW0305; INTRODUCCIÓN AL DESARROLLO DE SOFTWARE;2;2;0;3.0;;
3;O;202SW0306; MATEMÁTICA BÁSICA;3;2;0;4.0;;
4;O;202SW0401; ALGORÍTMICA II;3;2;0;4.0;202SW0301 - ALGORÍTMICA I;
